customer_id,mse,status
12346,,not_enough_data
12347,,not_enough_data
12348,,not_enough_data
12349,,not_enough_data
12350,,not_enough_data
12352,,not_enough_data
12353,,not_enough_data
12354,,not_enough_data
12355,,not_enough_data
12356,,not_enough_data
12357,,not_enough_data
12358,,not_enough_data
12359,,not_enough_data
12360,,not_enough_data
12361,,not_enough_data
12362,,not_enough_data
12363,,not_enough_data
12364,,not_enough_data
12365,,not_enough_data
12367,,not_enough_data
12370,,not_enough_data
12371,,not_enough_data
12372,,not_enough_data
12373,,not_enough_data
12374,,not_enough_data
12375,,not_enough_data
12377,,not_enough_data
12378,,not_enough_data
12379,,not_enough_data
12380,,not_enough_data
12381,,not_enough_data
12383,,not_enough_data
12384,,not_enough_data
12386,,not_enough_data
12388,,not_enough_data
12390,,not_enough_data
12391,,not_enough_data
12393,,not_enough_data
12394,,not_enough_data
12395,,not_enough_data
12397,,not_enough_data
12398,,not_enough_data
12399,,not_enough_data
12401,,not_enough_data
12402,,not_enough_data
12403,,not_enough_data
12405,,not_enough_data
12406,,not_enough_data
12407,,not_enough_data
12408,,not_enough_data
12409,,not_enough_data
12410,,not_enough_data
12412,,not_enough_data
12413,,not_enough_data
12414,,not_enough_data
12415,37521028.453315504,trained
12417,,not_enough_data
12418,,not_enough_data
12420,,not_enough_data
12421,,not_enough_data
12422,,not_enough_data
12423,,not_enough_data
12424,,not_enough_data
12425,,not_enough_data
12426,,not_enough_data
12427,,not_enough_data
12428,,not_enough_data
12429,,not_enough_data
12430,,not_enough_data
12431,,not_enough_data
12432,,not_enough_data
12433,,not_enough_data
12434,,not_enough_data
12435,,not_enough_data
12436,,not_enough_data
12437,32366.2161479625,trained
12438,,not_enough_data
12441,,not_enough_data
12442,,not_enough_data
12444,,not_enough_data
12445,,not_enough_data
12446,,not_enough_data
12447,,not_enough_data
12448,,not_enough_data
12449,,not_enough_data
12450,,not_enough_data
12451,,not_enough_data
12452,,not_enough_data
12453,,not_enough_data
12454,,not_enough_data
12455,,not_enough_data
12456,,not_enough_data
12457,,not_enough_data
12458,,not_enough_data
12461,,not_enough_data
12462,,not_enough_data
12463,,not_enough_data
12464,,not_enough_data
12465,,not_enough_data
